series_id,game_num,game_time_s,x,z,ward_type,placer_id,side,team,player,role,champion,blue_team,red_team,patch,date
2882795,1,33.103,6394,8558,yellowTrinket,7,Red,HMB,adi1,JGL,XinZhao,CG,HMB,16.1,2026-01-08
2882795,1,33.971,13070,2104,yellowTrinket,9,Red,HMB,Tyrone,BOT,Yunara,CG,HMB,16.1,2026-01-08
2882795,1,34.472,4798,8850,yellowTrinket,2,Blue,CG,Fragola,JGL,Jayce,CG,HMB,16.1,2026-01-08
2882795,1,36.709,8500,4880,yellowTrinket,5,Blue,CG,CENTU,SUP,Leona,CG,HMB,16.1,2026-01-08
2882795,1,45.525,9092,6022,yellowTrinket,8,Red,HMB,Vigil,MID,Orianna,CG,HMB,16.1,2026-01-08
2882795,1,113.146,3362,11370,yellowTrinket,1,Blue,CG,TheMountain,TOP,Chogath,CG,HMB,16.1,2026-01-08
2882795,1,117.186,8589,2912,yellowTrinket,10,Red,HMB,Click,SUP,Poppy,CG,HMB,16.1,2026-01-08
2882795,1,165.922,11572,3792,yellowTrinket,4,Blue,CG,Piskhello,BOT,Corki,CG,HMB,16.1,2026-01-08
2882795,1,168.026,10100,6044,yellowTrinket,7,Red,HMB,adi1,JGL,XinZhao,CG,HMB,16.1,2026-01-08
2882795,1,172.734,11824,4807,yellowTrinket,2,Blue,CG,Fragola,JGL,Jayce,CG,HMB,16.1,2026-01-08
2882795,1,180.915,12060,4500,yellowTrinket,10,Red,HMB,Click,SUP,Poppy,CG,HMB,16.1,2026-01-08
2882795,1,193.972,13508,2810,yellowTrinket,4,Blue,CG,Piskhello,BOT,Corki,CG,HMB,16.1,2026-01-08
2882795,1,209.901,3310,11402,yellowTrinket,1,Blue,CG,TheMountain,TOP,Chogath,CG,HMB,16.1,2026-01-08
2882795,1,227.031,6874,5603,yellowTrinket,8,Red,HMB,Vigil,MID,Orianna,CG,HMB,16.1,2026-01-08
2882795,1,250.606,12212,1332,yellowTrinket,9,Red,HMB,Tyrone,BOT,Yunara,CG,HMB,16.1,2026-01-08
2882795,1,262.909,6388,8536,yellowTrinket,3,Blue,CG,Bisgaard,MID,Akali,CG,HMB,16.1,2026-01-08
2882795,1,265.08,3290,11366,yellowTrinket,6,Red,HMB,APP,TOP,KSante,CG,HMB,16.1,2026-01-08
2882795,1,284.948,8564,6312,yellowTrinket,5,Blue,CG,CENTU,SUP,Leona,CG,HMB,16.1,2026-01-08
2882795,1,314.835,11554,3870,control,5,Blue,CG,CENTU,SUP,Leona,CG,HMB,16.1,2026-01-08
2882795,1,314.902,12098,4686,yellowTrinket,7,Red,HMB,adi1,JGL,XinZhao,CG,HMB,16.1,2026-01-08
2882795,1,316.672,12156,4460,yellowTrinket,5,Blue,CG,CENTU,SUP,Leona,CG,HMB,16.1,2026-01-08
2882795,1,360.884,11552,3858,yellowTrinket,10,Red,HMB,Click,SUP,Poppy,CG,HMB,16.1,2026-01-08
2882795,1,368.064,8118,5772,yellowTrinket,8,Red,HMB,Vigil,MID,Orianna,CG,HMB,16.1,2026-01-08
2882795,1,375.967,10412,6178,yellowTrinket,4,Blue,CG,Piskhello,BOT,Corki,CG,HMB,16.1,2026-01-08
2882795,1,408.759,3328,11298,yellowTrinket,6,Red,HMB,APP,TOP,KSante,CG,HMB,16.1,2026-01-08
2882795,1,411.931,6302,8498,yellowTrinket,3,Blue,CG,Bisgaard,MID,Akali,CG,HMB,16.1,2026-01-08
2882795,1,438.378,9244,2110,yellowTrinket,5,Blue,CG,CENTU,SUP,Leona,CG,HMB,16.1,2026-01-08
2882795,1,438.545,9240,2102,sight,10,Red,HMB,Click,SUP,Poppy,CG,HMB,16.1,2026-01-08
2882795,1,447.929,3268,11380,yellowTrinket,1,Blue,CG,TheMountain,TOP,Chogath,CG,HMB,16.1,2026-01-08
2882795,1,449.431,10371,2201,sight,5,Blue,CG,CENTU,SUP,Leona,CG,HMB,16.1,2026-01-08
2882795,1,457.713,11918,1856,yellowTrinket,9,Red,HMB,Tyrone,BOT,Yunara,CG,HMB,16.1,2026-01-08
2882795,1,494.539,8618,5570,sight,5,Blue,CG,CENTU,SUP,Leona,CG,HMB,16.1,2026-01-08
2882795,1,499.548,12100,4478,yellowTrinket,4,Blue,CG,Piskhello,BOT,Corki,CG,HMB,16.1,2026-01-08
2882795,1,500.283,7596,5022,sight,10,Red,HMB,Click,SUP,Poppy,CG,HMB,16.1,2026-01-08
2882795,1,503.288,8532,4836,sight,5,Blue,CG,CENTU,SUP,Leona,CG,HMB,16.1,2026-01-08
2882795,1,508.13,7886,3448,sight,5,Blue,CG,CENTU,SUP,Leona,CG,HMB,16.1,2026-01-08
